"Scenario","Year","share_LFP","Ni_Co_ratio","Cobalt","Copper","Lithium","Nickel","ev_Cobalt","ev_Copper","ev_Lithium","ev_Nickel"
"SPS_x0.8",2048,0.645620472228508,12.6018413012372,303.653242305997,29401.2555615472,901.918098182797,3001.29903266738,133.647033985582,2714.00051493306,720.080036045314,1684.19871266735
"SPS_x0.8",2049,0.648130081352439,12.524539061194,307.473514787495,29656.8928186443,917.775352102418,3038.81358644439,135.598980432544,2755.74356333677,731.294150360453,1698.31472708548
"SPS_x0.8",2050,0.650563885142098,12.4494307697664,311.293787268992,29912.5300757414,933.632606022038,3076.3281402214,137.550926879506,2797.48661174047,742.508264675592,1712.4307415036
"SPS_x0.82",2025,0.553954468585675,5.39178886801834,194.701428915102,22674.0628787584,203.293709979514,1274.80593577157,65.3187092344662,560.322004806042,119.631994507381,352.184689323721
"SPS_x0.82",2026,0.554104248411984,5.79862848717167,207.54813839199,23309.5838103102,237.68937670465,1392.42512754696,75.8426913834535,711.42547202197,149.438242361826,439.783590799863
"SPS_x0.82",2027,0.55420421499582,6.10631937882742,220.394847868877,23945.104741862,272.085043429787,1510.04431932235,86.3666735324408,862.528939237899,179.244490216272,527.382492276004
"SPS_x0.82",2028,0.554275675305988,6.34716928507714,233.241557345764,24580.6256734138,306.480710154924,1627.66351109774,96.8906556814281,1013.63240645383,209.050738070717,614.981393752146
"SPS_x0.82",2029,0.554329300980017,6.54082450417522,246.088266822651,25216.1466049656,340.87637688006,1745.28270287313,107.414637830415,1164.73587366976,238.856985925163,702.580295228287
"SPS_x0.82",2030,0.554371027890608,6.69991896498729,258.934976299539,25851.6675365174,375.272043605197,1862.90189464852,117.938619979403,1315.83934088568,268.663233779609,790.179196704428
"SPS_x0.82",2031,0.556210403999385,7.54232774275805,261.320762956101,26058.9587199471,414.671532681266,1969.19233892176,117.867929969104,1458.92646755922,303.514891864058,888.998558187436
"SPS_x0.82",2032,0.557670869679565,8.38574757792195,263.706549612663,26266.2499033767,454.071021757335,2075.482783195,117.797239958805,1602.01359423275,338.366549948507,987.817919670443
"SPS_x0.82",2033,0.558858574548863,9.23018029177567,266.092336269225,26473.5410868063,493.470510833403,2181.77322746824,117.726549948507,1745.10072090628,373.218208032956,1086.63728115345
"SPS_x0.82",2034,0.559843404923143,10.0756277099929,268.478122925788,26680.8322702359,532.869999909472,2288.06367174148,117.655859938208,1888.18784757981,408.069866117405,1185.45664263646
"SPS_x0.82",2035,0.560673250860678,10.9220916626378,270.86390958235,26888.1234536656,572.269488985541,2394.35411601472,117.585169927909,2031.27497425335,442.921524201854,1284.27600411946
"SPS_x0.82",2036,0.576328319953822,11.4314540949529,271.057833236147,27129.8230542065,610.718939411285,2471.13840236201,116.446879505664,2118.61256436663,476.053717816684,1331.15715756952
"SPS_x0.82",2037,0.589946071169143,11.9508730613522,271.251756889945,27371.5226547474,649.168389837029,2547.92268870929,115.308589083419,2205.95015447992,509.185911431514,1378.03831101957
