panel,cat,water_impact_B,cost_B
b,"Demand
>1,100 Mt",1604.4605353687452,4933.95088324476
b,"Demand
>1,100 Mt",5785.799084747112,7490.685662317649
b,"Demand
>1,100 Mt",5050.293241335062,7565.592518940864
b,"Demand
>1,100 Mt",4063.0050800039185,7865.21994543354
b,"Demand
>1,100 Mt",3453.272312067597,8239.754228549422
b,"Demand
>1,100 Mt",2902.2993599224224,9363.35707789708
b,"Demand
<1,000 Mt",5800.063869042322,7075.382343112875
b,"Demand
<1,000 Mt",4753.586546974492,7146.136166543998
b,"Demand
<1,000 Mt",3773.041887048852,7429.151460268496
b,"Demand
<1,000 Mt",3245.861312871921,7782.920577424146
b,"Demand
<1,000 Mt",2398.178663901094,8844.227928891069
b,"Demand
>1,100 Mt",7833.234683416548,5900.357209354832
b,"Demand
>1,100 Mt",6808.485995563605,5959.360781448443
b,"Demand
>1,100 Mt",5662.95391824815,6195.375069822662
b,"Demand
>1,100 Mt",4943.726726528171,6490.392930290409
b,"Demand
>1,100 Mt",4403.940903879276,7375.446511693673
b,"Demand
>1,100 Mt",7684.917196481231,6747.718182274818
b,"Demand
>1,100 Mt",7321.468794053085,6815.195364097574
b,"Demand
>1,100 Mt",6796.547230223558,7085.10409138854
b,"Demand
>1,100 Mt",6440.485185576765,7422.490000502295
b,"Demand
>1,100 Mt",5859.143471180017,8434.647727843481
b,"Demand
>1,100 Mt",4168.385097842318,7457.456387074108
b,"Demand
>1,100 Mt",3903.008548495765,7532.030950944858
b,"Demand
>1,100 Mt",3280.38218475742,7830.3292064278285
b,"Demand
>1,100 Mt",3081.1612284939906,8203.202025781555
b,"Demand
>1,100 Mt",2790.1094551205997,9321.82048384268
b,"Demand
<1,000 Mt",6012.24281416967,3606.254488151998
b,"Demand
<1,000 Mt",4762.620308254206,3642.317033033507
b,"Demand
<1,000 Mt",3519.8758425288866,3786.567212559582
b,"Demand
<1,000 Mt",2713.7912613387844,3966.879936967195
b,"Demand
<1,000 Mt",1712.741742475979,4507.818110189962
b,"Demand
>1,100 Mt",6193.352267536447,5171.541278191477
b,"Demand
>1,100 Mt",5275.123401954667,5223.25669097336
